old_sha256,old_size,target_count,replacement_target_count,unchanged_target_count,content_classification,legacy_group_representative_target,source_resolution,canonical_source_asset_path,source_candidate_count,source_candidates,replacement_targets,unchanged_targets
a6d03c118b0431ae8618cd2e92264a75291a73f6869673af6250478bd8e0127c,2506,3,3,0,fully_transparent_placeholder,assets/img/bg/1080/diamond_nijuusei2_conflict.png,no_current_official_match,,0,,assets/img/bg/1080/diamond_nijuusei2_conflict.png|assets/img/bg/1080/diamond_nijuusei2_light.png|assets/img/bg/1080/nijuusei2_conflict_clear.png,
c57daffa17c3cb0be82232e7a581148675c4e28593fb7c4220e7967466f9a166,2455,3,3,0,fully_transparent_placeholder,assets/img/bg/1080/gc_conflict_clear.png,no_current_official_match,,0,,assets/img/bg/1080/gc_conflict_clear.png|assets/img/bg/1080/gc_glow_conflict.png|assets/img/bg/1080/gc_glow_light.png,
e69cf76f04195a1b138471fc4f44a769249eb7860c2837cf0e57eb95652a4c84,5298,3,3,0,fully_transparent_placeholder,assets/img/bg/1080/nihil_clear.png,no_current_official_match,,0,,assets/img/bg/1080/nihil_clear.png|assets/img/bg/1080/undertale_conflict_clear.png|assets/img/bg/1080/undertale_light_clear.png,
02e2d6dd551ce5d40d96b826b8cfb164bad9b47141c0874392d3c155e2362d8e,2416,2,2,0,fully_transparent_placeholder,assets/img/bg/1080/chuni-garakuta_clear.png,no_current_official_match,,0,,assets/img/bg/1080/chuni-garakuta_clear.png|assets/img/bg/1080/diamond_garakuta.png,
1ab63e4a6d669914cc984c7336189d3d194eff5db809fa0968d29633c4b1010f,5238,2,2,0,fully_transparent_placeholder,assets/img/bg/1080/aethercrest_clear.png,no_current_official_match,,0,,assets/img/bg/1080/aethercrest_clear.png|assets/img/bg/1080/megalovaniarmx_clear.png,
1c3641cdffc204039b4b27f7ca132f18b328396157ef7bb990047f73139aec38,5432,2,2,0,fully_transparent_placeholder,assets/img/bg/1080/cytus_conflict_clear.png,no_current_official_match,,0,,assets/img/bg/1080/cytus_conflict_clear.png|assets/img/bg/1080/cytus_light_clear.png,
22a8bbd36832c1c06ced53337a2a2f058a811db78231648f5c5b262e26b345b6,3293,2,2,0,fully_transparent_placeholder,assets/img/bg/1080/etherstrike_clear.png,no_current_official_match,,0,,assets/img/bg/1080/etherstrike_clear.png|assets/img/bg/1080/etherstrike_diamond.png,
3365ae558e415bd58cf7aca850018d420988501f1c294bc46135cdbc9eacd2dc,1615,2,2,0,fully_transparent_placeholder,assets/img/bg/1080/gc_glow_lance.png,no_current_official_match,,0,,assets/img/bg/1080/gc_glow_lance.png|assets/img/bg/1080/gc_lance_clear.png,
46e05d3ff8d4d5a83ff468c6638b98c83c647d5790cd9006748d99b1ca35943c,1343,2,2,0,fully_transparent_placeholder,assets/img/bg/diamond.png,no_current_official_match,,0,,assets/img/bg/diamond.png|assets/img/bg/triangle_light.png,
7afdcab9b2f05fabcbc86455cddff32b990852856b1d105f98b40ea3f4617b71,3846,2,2,0,fully_transparent_placeholder,assets/img/bg/1080/tempestissimo_clear.png,no_current_official_match,,0,,assets/img/bg/1080/tempestissimo_clear.png|assets/img/bg/1080/tempestissimo_diamond.png,
bc0f8bbf088ea59b1edb62853d041c61d9341c8447c03f5d2633d92aa8f33d5e,2237,2,2,0,fully_transparent_placeholder,assets/img/bg/1080/chuni-ikazuchi_clear.png,no_current_official_match,,0,,assets/img/bg/1080/chuni-ikazuchi_clear.png|assets/img/bg/1080/diamond_ikazuchi.png,
bca8dc14eb2603b398e34a9a5d0bf802067d8b40e0a1a88ae2a281a8896efc8d,2344,2,2,0,fully_transparent_placeholder,assets/img/bg/1080/felis_clear.png,no_current_official_match,,0,,assets/img/bg/1080/felis_clear.png|assets/img/bg/1080/felis_diamond.png,
